Stability_time_total_exposure,Stability_relative_humidity_average_value,JV_reverse_scan_FF,JV_default_Jsc,Cell_area_measured,JV_reverse_scan_PCE,Stability_PCE_initial_value,JV_forward_scan_Voc,JV_average_over_n_number_of_cells,Stability_light_intensity,Perovskite_deposition_number_of_deposition_steps
-232.14795,20.53223,-38.58008,-4.3788967,15.341612,-13.156236,19.701235,-2.0101862,7.340689,-7.699089,-0.40969235
1102.611,-8.63508,0.5963234,-27.938633,132.1604,98.743904,65.49632,123.841736,35.41086,1.4352827,5.5080056
-192.42888,-2.9169345,-9.924684,-13.556583,-6.9194036,-17.000639,0.12236744,-0.3079551,8.383573,5.963458,-0.37136984
-258.2807,-3.2101402,-10.632648,-0.6690471,-39.159004,12.310411,5.6400685,-3.6802394,5.758206,-9.591645,0.027910758
-34.799305,-4.3003554,-13.979587,-12.248511,-10.611368,-18.630436,4.1114507,-3.8819506,-3.6060638,6.7491665,-0.31158167
19.188017,-4.1059184,5.919439,-1.2425861,-11.591452,31.810194,10.257395,109.75331,11.114561,-7.9288583,-0.27295318
316.2804,9.775144,6.3007846,30.82547,-67.250244,12.562104,103.80959,11.005478,6.789145,10.181289,2.0753262
-294.6667,-5.710915,-7.145349,-5.7992578,12.523753,-8.41307,-9.50758,-0.50100595,4.32567,3.2449234,-4.8138776
114.65775,28.64428,11.101223,-11.009656,-4.453292,-9.898979,-1.6195412,87.16525,-4.615293,5.5161796,3.494444
-32.92525,21.503176,20.42352,-19.092236,-6.15223,-27.54795,-41.751686,-1.752638,-2.4713314,5.724844,-0.5300159
977.97986,-64.17509,-23.291546,-22.851032,-69.95983,-38.50449,-11.235796,-13.683677,137.66504,-7.956618,9.749035
-96.81292,5.149921,-8.752251,16.923136,-2.4934964,-23.038412,2.4062765,1.9194155,4.7927704,6.319779,0.49151254
-321.1425,-3.9183762,-3.7417018,2.221809,-2.321621,25.407192,-2.1433325,0.33136547,-9.654445,-15.330628,0.051312935
-212.952,26.265772,5.270768,6.6300178,-7.723366,-27.7385,-21.653606,-2.9482045,4.9970784,6.7137876,0.078908525
-254.74905,1.3478148,-3.0561898,-8.854734,-8.346647,16.573181,0.045622673,1.1027652,-13.813425,7.9681377,-0.7680456
223.32079,14.54972,-26.896585,-7.6374474,-55.325436,2.2049541,-0.99623615,-1.4753354,8.071691,13.357588,1.6320984
195.0277,-16.107931,-13.647027,-11.722759,-96.821144,15.121276,-11.087766,-7.7940364,-7.0952215,-21.872192,-0.34969598
-398.22864,-42.414276,59.572002,12.965541,-2.551725,-2.8354118,-3.2586007,0.7345501,5.3731904,1.787413,-0.54134184
-218.64157,8.276273,-22.518272,-17.513355,5.9763236,-15.4935665,1.9169542,0.43963233,5.3846693,5.5208554,1.1492066
-190.57085,1.9829576,-2.015789,-14.20472,-8.741493,11.006985,4.887719,-0.0771937,9.260568,7.757373,-0.18481556
-72.21889,4.6437373,-5.6421876,-16.7655,16.02251,20.424852,10.232141,-0.9215672,7.5382285,-3.8345778,1.9437402
363.34607,12.737615,-24.536171,-20.618116,38.53766,-45.688,-37.791412,-13.417963,11.2915,54.80326,2.7523274
33.44497,6.4885397,-73.51616,21.382267,25.65179,-12.548218,-59.511917,1.0594398,27.775888,4.549924,2.9490285
-332.21866,-5.742158,-20.21748,5.335296,17.058504,12.521724,-7.1791863,-0.1953106,5.0489006,4.6816297,1.0859329
-267.2169,-6.5185056,-17.60774,-13.813224,-6.054987,8.260252,2.025091,-0.81098455,-21.20707,-6.537965,1.1135261
-189.50076,8.301741,-5.3934517,-14.012744,-8.714562,-12.231831,-0.2163229,-4.494388,-6.3430557,7.1905785,1.6487143
-355.45276,-3.6815476,-6.0677476,11.726358,11.958291,8.170297,-7.7134967,3.296635,3.7354057,-6.6893826,0.6830338
